epoch,accuracy,loss,val_accuracy,val_loss
0,0.1611374467611313,1.9045028686523438,0.1037735864520073,1.8817094564437866
1,0.24526067078113556,1.7542855739593506,0.14150942862033844,1.838132619857788
2,0.31990522146224976,1.6808452606201172,0.16981132328510284,1.800879955291748
3,0.43009477853775024,1.6131688356399536,0.1745283007621765,1.7874133586883545
4,0.4763033092021942,1.574326992034912,0.16981132328510284,1.779902458190918
5,0.5236966609954834,1.5345250368118286,0.2075471729040146,1.7699698209762573
6,0.5829383730888367,1.4871692657470703,0.23113207519054413,1.7562825679779053
7,0.5687204003334045,1.4583086967468262,0.23113207519054413,1.7418426275253296
8,0.5983412265777588,1.4172391891479492,0.24528302252292633,1.7315409183502197
9,0.6196682453155518,1.3860511779785156,0.23113207519054413,1.727378010749817
10,0.6433649063110352,1.3502874374389648,0.23113207519054413,1.7115938663482666
11,0.6812795996665955,1.314356803894043,0.2830188572406769,1.6843338012695312
12,0.6682464480400085,1.2975654602050781,0.2783018946647644,1.6572662591934204
13,0.7026066184043884,1.262234091758728,0.3066037595272064,1.6273956298828125
14,0.7049763202667236,1.237666368484497,0.37264150381088257,1.5932799577713013
15,0.7357819676399231,1.2092524766921997,0.3820754587650299,1.5725809335708618
16,0.7369668483734131,1.1822118759155273,0.35849055647850037,1.5563851594924927
17,0.7594786882400513,1.1631845235824585,0.37264150381088257,1.54276704788208
18,0.7902843356132507,1.1308178901672363,0.3820754587650299,1.5313127040863037
19,0.7689573168754578,1.1170573234558105,0.3820754587650299,1.5211139917373657
20,0.7973933815956116,1.0899502038955688,0.3820754587650299,1.5205118656158447
21,0.7973933815956116,1.0698200464248657,0.39150944352149963,1.5139495134353638
22,0.8151658773422241,1.0383968353271484,0.39150944352149963,1.5073490142822266
23,0.8258293867111206,1.0203921794891357,0.37264150381088257,1.5064009428024292
24,0.8341231942176819,0.9911923408508301,0.39150944352149963,1.499700903892517
25,0.8246445655822754,0.9847580790519714,0.3962264060974121,1.494974136352539
26,0.8672986030578613,0.9464141130447388,0.37264150381088257,1.4997334480285645
27,0.8590047359466553,0.937098503112793,0.38679245114326477,1.4891310930252075
28,0.8471564054489136,0.9323461651802063,0.3962264060974121,1.4900187253952026
29,0.8601895570755005,0.891522228717804,0.38679245114326477,1.4857816696166992
