epoch,accuracy,loss,val_accuracy,val_loss
0,0.21682465076446533,1.766113042831421,0.18396227061748505,1.7946650981903076
1,0.29383885860443115,1.7332428693771362,0.24056604504585266,1.7734161615371704
2,0.324644535779953,1.7098958492279053,0.2358490526676178,1.7548989057540894
3,0.34478673338890076,1.6893467903137207,0.25943395495414734,1.7336992025375366
4,0.36848342418670654,1.6697394847869873,0.2641509473323822,1.7124333381652832
5,0.3661137521266937,1.6544554233551025,0.3066037595272064,1.6919866800308228
6,0.379146933555603,1.6370553970336914,0.3066037595272064,1.675930380821228
7,0.3850710988044739,1.6252564191818237,0.34433960914611816,1.6548871994018555
8,0.42890995740890503,1.6113371849060059,0.3679245412349701,1.6356092691421509
9,0.4229857921600342,1.5993205308914185,0.37264150381088257,1.6224229335784912
10,0.43009477853775024,1.5876215696334839,0.349056601524353,1.6076176166534424
11,0.4087677597999573,1.5795289278030396,0.36320754885673523,1.5959126949310303
12,0.41706159710884094,1.571818232536316,0.37735849618911743,1.5873594284057617
13,0.44194313883781433,1.5575276613235474,0.34433960914611816,1.580525517463684
14,0.44075828790664673,1.5536805391311646,0.41981130838394165,1.572096586227417
15,0.44312795996665955,1.5438950061798096,0.3820754587650299,1.5563687086105347
16,0.4478673040866852,1.532895803451538,0.36320754885673523,1.543959379196167
17,0.4526066482067108,1.5243617296218872,0.3820754587650299,1.53910493850708
18,0.4609004855155945,1.5149818658828735,0.36320754885673523,1.5498360395431519
19,0.4466824531555176,1.508760690689087,0.4103773534297943,1.53426992893219
20,0.45616114139556885,1.499496579170227,0.3537735939025879,1.5187766551971436
21,0.46919432282447815,1.491111397743225,0.41981130838394165,1.5086568593978882
22,0.4597156345844269,1.481828212738037,0.43396225571632385,1.501368522644043
23,0.4763033092021942,1.4780051708221436,0.37735849618911743,1.5065809488296509
24,0.475118488073349,1.4664109945297241,0.4528301954269409,1.4990075826644897
25,0.49526065587997437,1.4589513540267944,0.400943398475647,1.4860776662826538
26,0.49644550681114197,1.4503308534622192,0.37735849618911743,1.5155980587005615
27,0.4881516695022583,1.4444730281829834,0.31603774428367615,1.521335244178772
28,0.4763033092021942,1.4352974891662598,0.44811320304870605,1.4756354093551636
29,0.5,1.4272922277450562,0.38679245114326477,1.4698575735092163
