epoch,accuracy,loss,val_accuracy,val_loss
0,0.30707207322120667,1.8676166534423828,0.17595702409744263,2.719334125518799
1,0.4075256288051605,1.5193830728530884,0.17125587165355682,4.651233196258545
2,0.4973962604999542,1.2797060012817383,0.17730019986629486,5.21661901473999
3,0.5704686641693115,1.114683985710144,0.3794493079185486,1.6713154315948486
4,0.6988072991371155,0.8427233099937439,0.21490933001041412,4.0032758712768555
5,0.7208130359649658,0.8021945953369141,0.4620550572872162,1.3992257118225098
6,0.8664538860321045,0.49914029240608215,0.17998656630516052,5.182837009429932
7,0.8417604565620422,0.5324164628982544,0.25520482659339905,3.7439563274383545
8,0.9072736501693726,0.37404775619506836,0.4754869043827057,1.4790468215942383
9,0.9786662459373474,0.19269394874572754,0.3928811252117157,2.1767845153808594
10,0.9870653748512268,0.1503869593143463,0.3895231783390045,2.3158187866210938
