epoch,accuracy,loss,val_accuracy,val_loss
0,0.42062824964523315,1.432375431060791,0.42511752247810364,1.3943783044815063
1,0.5052914619445801,1.2505102157592773,0.49966421723365784,1.2529163360595703
2,0.5608936548233032,1.1394537687301636,0.4049697816371918,1.5124857425689697
3,0.5830673575401306,1.079513430595398,0.5742108821868896,1.0856882333755493
4,0.6168318390846252,0.994211733341217,0.5036937594413757,1.3191239833831787
5,0.6415252685546875,0.9292535781860352,0.43922096490859985,1.6784769296646118
6,0.6445489525794983,0.9318755269050598,0.625251829624176,0.9749638438224792
7,0.7117419838905334,0.768300473690033,0.5641369819641113,1.153594732284546
8,0.7520577907562256,0.6647791862487793,0.4197447896003723,1.809234857559204
9,0.7691919803619385,0.6191324591636658,0.5151107907295227,1.478979468345642
10,0.8135393857955933,0.5055602788925171,0.5701813101768494,1.2470630407333374
11,0.8713253736495972,0.3729528486728668,0.5936870574951172,1.3608342409133911
12,0.8478078246116638,0.42621296644210815,0.5815984010696411,1.2831220626831055
13,0.9422140121459961,0.1999875009059906,0.4419073164463043,2.491640090942383
14,0.9064337015151978,0.2861677408218384,0.5446608662605286,1.6219383478164673
15,0.9751386046409607,0.10261362046003342,0.47347211837768555,2.156869411468506
16,0.9884092211723328,0.058240558952093124,0.6386836767196655,1.3836437463760376
